osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags
10946810,Newstead Road,secondary,,,,,6,"""ref""=>""C283"""
10948912,High Street,secondary,,,,,6,"""maxspeed""=>""60"",""ref""=>""C282;C283"""
10948915,High Street,secondary,,,,,6,"""maxspeed""=>""60"",""ref""=>""C282;C283"""
10948917,Bridgewater - Maldon Road,secondary,,,,,6,"""ref""=>""C282"""
10949060,Allans Road,tertiary,,,,,4,
10950933,Gray Street,residential,,,,,3,
10950934,Pond Drive,residential,,,,,3,
10951092,Church Street,residential,,,,,3,
10951096,Camp Street,residential,,,,,3,"""surface""=>""unpaved"""
10952368,Templeton Street,residential,,,,,3,
13087118,Fountain Track,track,,,,,0,
13087122,Anzac Drive,track,,,,,0,
13087296,Fountain Street,residential,,,,,3,
13087524,Tobin Street,residential,,,,,3,
13088519,Franklin Street,residential,,,,,3,
13088529,Dolphin Street,residential,,,,,3,"""oneway""=>""yes"""
13090367,Chapel Street North,residential,,,,,3,
13091445,Hospital Street,residential,,,,,3,
20789746,Boundary Road,residential,,,,,3,
20789748,Phoenix Street,residential,,,,,3,
20789753,Forsythe Street,residential,,,,,3,
20789758,Vincents Road,residential,,,,,3,
20789761,Morris Street,residential,,,,,3,"""surface""=>""asphalt"""
20789764,Hornsby Street,secondary,,,,,6,"""maxspeed""=>""50"",""ref""=>""C283"",""surface""=>""asphalt"""
20789766,Morris Street,secondary,,,,,6,"""alt_name""=>""Maldon - Bendigo Road"",""maxspeed""=>""80"",""ref""=>""C283"",""surface""=>""asphalt"""
22929246,Maldon - Bendigo Road,secondary,,,,,6,"""maxspeed""=>""100"",""oneway""=>""no"",""ref""=>""C283"",""surface""=>""paved"""
23075472,Spring Street,residential,,,,,3,
23075473,Chapel Street South,residential,,,,,3,
23075474,Francis Street,residential,,,,,3,"""oneway""=>""yes"""
23075475,,residential,,,,,3,
23075622,Derby Hill,footway,,,,,0,
24443716,South Parkins Reef Road,unclassified,,,,,3,"""surface""=>""unpaved"""
24443837,,service,,,,,0,"""surface""=>""unpaved"""
24443838,,service,,,,,0,
24443898,Johns Road,residential,,,,,3,
24443899,,track,,,,,0,
24443900,Baxter Street,residential,,,,,3,
24443901,,track,,,,,0,
24443902,,footway,,,,,0,
24443903,,footway,,,,,0,
24443977,Adair Street,residential,,,,,3,"""maxspeed""=>""50"",""oneway""=>""no"""
24443981,Steele Street,residential,,,,,3,
24443982,Warnock Street,residential,,,,,3,
24443983,Reef Street,residential,,,,,3,
24443984,Polsue Street,residential,,,,,3,"""lanes""=>""1"",""oneway""=>""yes"""
24443986,Tailings Lane,residential,,,,,3,
24887473,Polsue Street,residential,,,,,3,
24887474,Harker Street,residential,,,,,3,
24887575,Railway Track,track,,,,,0,"""surface""=>""gravel"""
24887576,Castlemaine to Maldon Trail,track,,,,,0,"""surface""=>""gravel"""
25009456,Parker Street,residential,,,,,3,"""maxspeed""=>""50"",""oneway""=>""no"""
25009508,Cox Street,residential,,,,,3,
25009509,Union Street,residential,,,,,3,"""tracktype""=>""grade1"""
25153985,,track,,,,,0,
25154110,Cox Street,residential,,,,,3,
25154111,Lisle's Gully Road,residential,,,,,3,
25154112,,track,,,,,0,
25154113,,track,,,,,0,
25154114,Roberts Street,residential,,,,,3,
25154115,Cox's Track,track,,,,,0,
25154116,Ridge Track,track,,,,,0,
25154117,,track,,,,,0,
25154118,Treloars Lane,residential,,,,,3,
25154119,D'Orsa Lane,residential,,,,,3,
25173218,Mantons Gully Road,residential,,,,,3,
25173219,Mantons Gully Track,track,,,,,0,
25173251,,track,,,,,0,
25173345,Parkins Reef Road,tertiary,,,,,4,
25178439,South German Road,residential,,,,,3,"""surface""=>""unpaved"""
25178440,South German Road,residential,,,,,3,"""surface""=>""unpaved"""
25178441,South German Road,residential,,,,,3,"""surface""=>""unpaved"""
25178442,Mill Street,residential,,,,,3,
25178470,Edwards Street,residential,,,,,3,
25178472,Union Street,residential,,,,,3,
26154919,Watersons Road,unclassified,,,,,3,"""surface""=>""unpaved"""
26174146,,track,,,,,0,
26175487,Davies Lane,residential,,,,,3,
26175488,"Davies Lane;Jones Track",residential,,,,,3,
26175489,Nuggetty Track,track,,,,,0,
26175490,Rock of Ages Track,track,,,,,0,
26175520,Lowther Street,tertiary,,,,,4,
26451949,Nelson Street,residential,,,,,3,
26470813,Mount Back Road,unclassified,,,,,3,"""surface""=>""unpaved"""
26470844,,track,,,,,0,"""tracktype""=>""grade3"""
26492053,O'Connors Track,track,,,,,0,
26492054,Smiths Reef Track,track,,,,,0,
26512973,,track,,,,,0,
26512974,,track,,,,,0,
26515277,Treloars Road,unclassified,,,,,3,
26515373,Nuggetty Road,tertiary,,,,,4,"""surface""=>""unpaved"""
26515374,Back Cemetery Road,unclassified,,,,,3,
26515376,Wattle Gully Road,residential,,,,,3,
26515377,Dieckmanns Lane,residential,,,,,3,"""surface""=>""unpaved"""
26515378,,track,,,,,0,
26515521,,service,,,,,0,
26515524,,service,,,,,0,
26515529,,service,,,,,0,
26515534,,service,,,,,0,
26515535,,service,,,,,0,
26515621,Maldon Shelbourne Road,unclassified,,,,,3,"""surface""=>""paved"""
26806803,Rowes Road,residential,,,,,3,
26806805,Popecks Road,residential,,,,,3,"""surface""=>""unpaved"""
26806806,Barham Road,unclassified,,,,,3,
26806877,Sandy Creek Road,unclassified,,,,,3,"""surface""=>""unpaved"""
27528411,Oswald Street,residential,,,,,3,
27528413,Vincents Road,residential,,,,,3,"""oneway""=>""no"""
27528415,McFarlane Street,residential,,,,,3,"""oneway""=>""no"""
27528416,McIntyre Street,residential,,,,,3,"""oneway""=>""no"""
27528430,Stump Street,residential,,,,,3,
27528479,Woodlocks Lane,unclassified,,,,,3,"""oneway""=>""no"""
27528480,,residential,,,,,3,
27528525,Porcupine Lane,unclassified,,,,,3,
27528526,,track,,,,,0,
27528696,Telfords Road,residential,,,,,3,
27528698,,residential,,,,,3,
27528701,Forty Foot Lane,residential,,,,,3,
27528705,Bells Reef Road,residential,,,,,3,"""oneway""=>""no"""
27528706,Sailors Reef Road,residential,,,,,3,
27528844,Millers Track,track,,,,,0,
27528845,Phillips Track,track,,,,,0,
27675223,Drovers Track,track,,,,,0,
28436784,Bryant Street,residential,,,,,3,"""surface""=>""unpaved"""
28436785,Lowther Street West,residential,,,,,3,"""surface""=>""unpaved"""
28436786,,footway,,,,,0,
28436787,Golf lInks Road,residential,,,,,3,
28436806,Grigg Street,residential,,,,,3,
28436807,Nursery Lane,residential,,,,,3,
28436808,McLeod Street,residential,,,,,3,
28436809,Browns Road,residential,,,,,3,"""surface""=>""unpaved"""
28436974,,unclassified,,,,,3,
28436975,Almond Tree Road,unclassified,,,,,3,"""maxspeed""=>""100"",""oneway""=>""no"",""surface""=>""unpaved"""
28464932,Jones Track,track,,,,,0,
28968016,Langs Lane,residential,,,,,3,"""oneway""=>""no"""
28968017,Caudry Street,residential,,,,,3,
28968034,,track,,,,,0,"""surface""=>""ground"",""tracktype""=>""grade3"""
28968035,,service,,,,,0,
28968038,,service,,,,,0,
28968051,,service,,,,,0,"""surface""=>""paved"""
28968052,,service,,,,,0,"""surface""=>""unpaved"""
28968068,,track,,,,,0,
29235492,,track,,,,,0,
29235494,,track,,,,,0,
29235495,,track,,,,,0,
29235541,,track,,,,,0,
29235542,,footway,,,,,0,
29235543,,footway,,,,,0,
29252814,Pipeline Track,track,,,,,0,
29298521,Maldon Farm Road,residential,,,,,3,"""surface""=>""unpaved"""
29337129,,secondary,,,,,6,"""oneway""=>""no"",""ref""=>""C282"""
29369919,Adair Track,track,,,,,0,
29369935,,track,,,,,20,"""access""=>""private"",""layer""=>""2"",""tracktype""=>""grade3"""
29369936,,track,,,,,0,
29369937,,track,,,,,20,"""access""=>""private"",""layer""=>""2"""
29369939,,service,,,,,0,"""surface""=>""unpaved"""
29369945,,service,,,,,0,
29369946,,footway,,,,,0,
29369947,,footway,,,,,0,
29369948,,steps,,,,,0,
29369953,,footway,,,,,0,
29369978,,track,,,,,0,
29369979,,service,,,,,0,
29474379,,track,,,,,0,
29474380,,footway,,,,,0,"""bicycle""=>""yes"""
29474885,,service,,,,,0,
29474887,,cycleway,,,,,0,"""smoothness""=>""very_bad"",""surface""=>""unpaved"""
29474888,,track,,,,,0,
29479313,,footway,,,,,0,
29479315,,track,,,,,0,"""tracktype""=>""grade1"""
29479317,,footway,,,,,0,
31331268,,footway,,,,,0,"""bicycle""=>""no"""
31331269,Anzac Circle,footway,,,,,0,
31331270,,footway,,,,,0,
31331271,Anzac Avenue,footway,,,,,0,
31331294,,service,,,,,0,
31331474,,service,,,,,0,
31331495,,service,,,,,0,
31941719,James Track,track,,,,,0,
31941725,Tait Town Track,track,,,,,0,
32426468,,service,,,,,0,
32979165,Lisle's Gully Historic Walk,footway,,,,,0,
32979166,,footway,,,,,0,
32979167,,track,,,,,0,
32979168,,footway,,,,,0,
33629342,,secondary,,,,,26,"""bridge""=>""yes"",""layer""=>""1"",""ref""=>""C282"""
33629343,Castlemaine Road,secondary,,,,,6,"""ref""=>""C282"""
33904956,,footway,,,,,0,
33904957,Anzac Hill Track,track,,,,,0,
38748252,Sandy Creek,,stream,,,,0,
38748255,,service,,,,,0,
43538343,Lewis Road,unclassified,,,,,3,"""maxspeed""=>""100"""
61787655,Maldon - Shelbourne railway (closed 1969),,,,,,5,"""railway""=>""disused"""
66837756,,,,,fence,,0,
66837757,,track,,,,,0,
66837759,Maldon Water Tank,,,,,water_tower,0,
66837762,,service,,,,,0,
66837763,,track,,,,,0,
66837766,,track,,,,,0,
66845649,,service,,,,,0,
66845651,,footway,,,,,0,
66845654,,service,,,,,0,
86573937,Reef Street,secondary,,,,,6,"""maxspeed""=>""50"",""ref""=>""C283"""
86574690,,,,,,,0,"""addr:interpolation""=>""odd"""
128976171,,unclassified,,,,,3,"""surface""=>""unpaved"""
138647537,,footway,,,,,0,
149123917,,service,,,,,0,
149123918,Lawrence Street,residential,,,,,3,
149123920,,service,,,,,0,
149123921,,service,,,,,0,
149123922,,service,,,,,0,
149123923,,service,,,,,0,"""access""=>""customers"""
149123924,,service,,,,,0,"""access""=>""customers"""
149123925,,track,,,,,0,"""access""=>""customers"""
157811666,,unclassified,,,,,3,"""surface""=>""unpaved"""
170831283,,service,,,,,0,
170831284,,track,,,,,0,"""access""=>""private"""
170831285,,service,,,,,0,"""access""=>""private"""
172382125,Fogarty's Gap Road,tertiary,,,,,4,"""maxspeed""=>""100"""
185945757,Victorian Goldfields Railway,,,,,,5,"""railway""=>""preserved"""
192543631,Mount Tarrangower Road,unclassified,,,,,3,
192543634,,service,,,,,0,"""surface""=>""unpaved"""
192543635,,track,,,,,0,
192543996,Camp Street,residential,,,,,3,
192543997,,footway,,,,,0,
201245681,Francis Street,residential,,,,,3,
201254682,Main Street,secondary,,,,,6,"""maxspeed""=>""40"",""ref""=>""C283"""
201387536,Ireland Street,residential,,,,,3,
201387537,Ireland Street,residential,,,,,3,
201387538,Parker Street,residential,,,,,3,
201387539,,residential,,,,,3,"""lanes""=>""1"",""oneway""=>""yes"""
201387540,Franklin Street,residential,,,,,3,"""lanes""=>""1"",""oneway""=>""yes"""
201387541,Franklin Street,residential,,,,,3,
201387542,Franklin Street,residential,,,,,3,
201387543,Adair Street East,residential,,,,,3,
201390497,,residential,,,,,3,
201390498,,track,,,,,0,
201390500,Camp Street,residential,,,,,3,"""surface""=>""unpaved"""
201390501,,footway,,,,,20,"""bridge""=>""yes"",""layer""=>""1"""
201390502,,footway,,,,,0,
203983417,Parkins Reef Trail,footway,,,,,0,
208407280,,,,,,,0,
208407281,,,,,,,0,
208407291,,,,,,,0,
219072804,High Street,secondary,,,,,6,"""maxspeed""=>""60"",""ref""=>""C282"""
219072805,High Street,secondary,,,,,6,"""maxspeed""=>""60"",""ref""=>""C282"""
219072806,Fountain Street,residential,,,,,3,
219185307,Nuggetty Road,tertiary,,,,,24,"""bridge""=>""yes"",""layer""=>""1"",""surface""=>""unpaved"""
219185308,Nuggetty Road,tertiary,,,,,4,"""maxspeed""=>""100"",""oneway""=>""no"",""surface""=>""unpaved"""
219185309,,footway,,,,,0,
219185310,,footway,,,,,20,"""bridge""=>""yes"",""layer""=>""1"""
219185311,,footway,,,,,0,
219185312,,footway,,,,,0,
219185313,,footway,,,,,0,"""bicycle""=>""yes"""
219185314,,,stream,,,,0,
288891920,,path,,,,,0,
303470795,,service,,,,,0,
303470796,,,,,,,5,"""railway""=>""turntable"""
303470797,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470798,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470799,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470800,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470801,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470802,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470803,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470804,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470806,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470807,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
303470810,,,,,,,-5,"""railway""=>""rail"",""service""=>""siding"",""tunnel""=>""yes"""
313510953,,footway,,,,,0,"""surface""=>""asphalt"""
313510954,,footway,,,,,0,
313510956,,footway,,,,,0,
314812070,,footway,,,,,0,
314812071,,footway,,,,,0,
314812072,,footway,,,,,0,
314812073,,footway,,,,,0,
314812074,,footway,,,,,0,
314812075,,footway,,,,,0,
314812076,,footway,,,,,0,
314812077,,footway,,,,,0,
314812078,,footway,,,,,0,
314812079,,footway,,,,,0,
314812080,,footway,,,,,0,
314812081,,footway,,,,,0,
314812082,,footway,,,,,0,
314813208,,service,,,,,0,
314813209,,service,,,,,0,
314813210,,service,,,,,0,
314816040,,service,,,,,0,
314816041,,service,,,,,0,
314818743,,service,,,,,0,
314818744,,footway,,,,,0,
314818745,,cycleway,,,,,0,
314818746,,footway,,,,,0,
314818747,,footway,,,,,0,
314818748,,footway,,,,,0,
314818749,,footway,,,,,0,
314818750,,footway,,,,,0,
314818754,,service,,,,,0,
314818755,,footway,,,,,0,
314818756,,footway,,,,,0,
314818757,,footway,,,,,0,
314818758,,footway,,,,,0,
314818759,,footway,,,,,0,
314818769,,service,,,,,0,
314818770,,service,,,,,0,
314818771,,service,,,,,0,
314818772,,footway,,,,,0,
314818773,,footway,,,,,0,
314818781,,footway,,,,,0,
314819204,,footway,,,,,0,
314819206,,footway,,,,,0,
314819207,,footway,,,,,0,
314819781,,footway,,,,,0,
314819991,,footway,,,,,0,
314819992,,footway,,,,,0,
314820266,,footway,,,,,0,
314820269,,footway,,,,,0,
314820271,,footway,,,,,0,
314820272,,footway,,,,,0,
314820273,,footway,,,,,20,"""bridge""=>""yes"",""layer""=>""1"""
314820847,,footway,,,,,0,
314820848,,footway,,,,,20,"""bridge""=>""yes"",""layer""=>""1"""
314820849,,footway,,,,,0,
314820850,,footway,,,,,0,
314829584,Maldon Vintage Machinery Museum,,,,fence,,0,
315274127,,footway,,,,,0,
315274129,,footway,,,,,0,
315274130,,footway,,,,,0,
315274131,,footway,,,,,0,
315274132,,footway,,,,,0,
315274133,,footway,,,,,0,
315274134,,footway,,,,,0,
315275296,,,stream,,,,0,
315275297,,residential,,,,,3,"""surface""=>""gravel"""
315551652,,service,,,,,0,
315551653,,service,,,,,0,
315551654,,service,,,,,0,
315551655,,service,,,,,0,
315551656,,service,,,,,0,
315551657,,footway,,,,,0,
315551658,,footway,,,,,0,
315551659,,footway,,,,,0,
315551660,,footway,,,,,0,
315551661,,service,,,,,0,
315551662,,service,,,,,0,
315551724,,footway,,,,,0,
315551725,,footway,,,,,0,
315551783,,,,,fence,,0,
315551891,,,,,fence,,0,
315551892,,,,,fence,,0,
315551893,,,,,fence,,0,
315554105,,service,,,,,0,
315554107,,,,,fence,,0,
315554110,,,,,fence,,0,
315554111,,,,,fence,,0,
315554114,,service,,,,,0,
315554115,,service,,,,,0,
315554116,,service,,,,,0,
315556517,,footway,,,,,0,
315556518,,footway,,,,,0,
315556519,,footway,,,,,0,
315698756,,,,,fence,,0,
315698758,,,,,fence,,0,
315698759,,,,,fence,,0,
315698760,,,,,fence,,0,
315698761,,,,,fence,,0,
315698776,,service,,,,,0,"""service""=>""driveway"""
315698777,,service,,,,,0,"""service""=>""driveway"""
315698778,,service,,,,,0,"""service""=>""driveway"""
315698779,,,,,fence,,0,
315698780,,,,,fence,,0,
315698781,,,,,fence,,0,
315698782,,,,,fence,,0,
315698783,,,,,fence,,0,
315698784,,,,,fence,,0,
315698785,,,,,fence,,0,
315699686,,service,,,,,0,"""service""=>""driveway"""
315699687,,service,,,,,0,"""service""=>""driveway"""
315699689,,,,,fence,,0,
315699690,,,,,fence,,0,
315699691,,service,,,,,0,"""service""=>""driveway"""
315699692,,service,,,,,0,"""service""=>""driveway"""
315699693,,service,,,,,0,"""service""=>""driveway"""
315699694,,,,,fence,,0,
315699696,,service,,,,,0,"""service""=>""driveway"""
315699697,,service,,,,,0,"""service""=>""driveway"""
315699698,,service,,,,,0,"""service""=>""driveway"""
315699699,,service,,,,,0,"""service""=>""driveway"""
315699700,,,,,fence,,0,
315699701,,,,,fence,,0,
315699702,,,,,fence,,0,
315699703,,,,,fence,,0,
315699704,,,,,fence,,0,
315699705,,,,,fence,,0,
315699706,,,,,fence,,0,
315699707,,service,,,,,0,"""service""=>""driveway"""
315699717,,service,,,,,0,"""service""=>""driveway"""
315699718,,service,,,,,0,"""service""=>""driveway"""
315699719,,service,,,,,0,"""service""=>""driveway"""
315699720,,service,,,,,0,"""service""=>""driveway"""
315699721,,,,,fence,,0,
315699722,,,,,fence,,0,
315699724,,,,,fence,,0,
315699725,,,,,fence,,0,
315699731,,,,,fence,,0,
315699732,,,,,fence,,0,
315700157,,,,,fence,,0,
315700160,,,,,fence,,0,
315700165,,,,,fence,,0,
315700167,,,,,fence,,0,
315700168,,,,,fence,,0,
315700170,,,,,fence,,0,
315700172,,,,,fence,,0,
315700189,,service,,,,,0,"""service""=>""driveway"""
315700190,,service,,,,,0,"""service""=>""driveway"""
315700191,,service,,,,,0,"""service""=>""driveway"""
315700192,,service,,,,,0,"""service""=>""driveway"""
315700193,,service,,,,,0,"""service""=>""driveway"""
315700196,,service,,,,,0,"""service""=>""driveway"""
315700197,,service,,,,,0,"""service""=>""driveway"""
315700198,,service,,,,,0,"""service""=>""driveway"""
315700199,,service,,,,,0,"""service""=>""driveway"""
315700200,,service,,,,,0,"""service""=>""driveway"""
315700201,,service,,,,,0,"""service""=>""driveway"""
317036474,,,,,fence,,0,
317036475,,,,,fence,,0,
317036476,,,,,fence,,0,
317036477,,,,,fence,,0,
317036478,,,,,fence,,0,
317036479,,,,,fence,,0,
317036480,,,,,fence,,0,
317036481,,,,,fence,,0,
317036482,,,,,fence,,0,
317036483,,,,,fence,,0,
317036484,,,,,fence,,0,
317036485,,,,,fence,,0,
317036486,,,,,fence,,0,
317036487,,,,,fence,,0,
317036488,,,,,fence,,0,
317036489,,,,,fence,,0,
317036490,,,,,fence,,0,
317036491,,,,,fence,,0,
317036492,,,,,fence,,0,
317036494,,,,,fence,,0,
317036495,,,,,fence,,0,
317036496,,,,,fence,,0,
317039265,,,,,fence,,0,
317048223,,,ditch,,,,0,
317048224,,,ditch,,,,-20,"""layer""=>""-1"",""tunnel""=>""yes"""
317048225,,,ditch,,,,0,
317048226,,,ditch,,,,-20,"""layer""=>""-1"",""tunnel""=>""yes"""
317048227,,,ditch,,,,0,
317048228,,,ditch,,,,-20,"""layer""=>""-1"",""tunnel""=>""yes"""
317048229,,,ditch,,,,-20,"""layer""=>""-1"",""tunnel""=>""yes"""
317048230,,,ditch,,,,0,
317049262,,,,,fence,,0,
317049263,,,,,fence,,0,
317049264,,,,,fence,,0,
317049265,,,,,fence,,0,
317073283,,footway,,,,,0,
317073284,,footway,,,,,0,
317073285,,footway,,,,,0,
317073286,,,ditch,,,,0,
317073292,,footway,,,,,0,
317073305,,,ditch,,,,0,
317073306,,,ditch,,,,0,
317073307,,footway,,,,,0,
317073309,,,ditch,,,,0,
317073310,,,ditch,,,,0,
317073311,,footway,,,,,0,
317073312,,footway,,,,,0,
317073313,,footway,,,,,0,
317073314,,footway,,,,,0,
317073315,,footway,,,,,0,
317073316,,footway,,,,,0,
317073317,,footway,,,,,0,
317073318,,footway,,,,,0,
317073319,,footway,,,,,0,
317073320,,footway,,,,,0,
317073321,,footway,,,,,0,
317073322,,footway,,,,,0,
317073323,,footway,,,,,0,
317073324,,footway,,,,,0,
317073325,,footway,,,,,0,
317073326,,footway,,,,,0,
317073327,,footway,,,,,0,
317073328,,footway,,,,,0,
317073329,,footway,,,,,0,
317073330,,footway,,,,,0,
317073331,,service,,,,,0,
317073332,,footway,,,,,0,
317073333,,footway,,,,,0,
317073334,,footway,,,,,0,
317073335,,footway,,,,,0,
317075533,,,ditch,,,,0,
317075534,,footway,,,,,0,
317075535,,footway,,,,,0,
317075536,,footway,,,,,0,
317075537,,footway,,,,,0,
317075538,,footway,,,,,0,
317075539,,footway,,,,,0,
317075540,,footway,,,,,0,
317075541,,footway,,,,,0,
317075542,,footway,,,,,0,
317075543,,footway,,,,,0,
317075545,,footway,,,,,0,
317075547,,footway,,,,,0,
317075549,,footway,,,,,0,
317075551,,footway,,,,,0,
317077936,,footway,,,,,0,
317077938,,footway,,,,,0,
317077939,,footway,,,,,0,
317077941,,,ditch,,,,0,
317077943,,footway,,,,,0,
317077944,,footway,,,,,0,
317077946,,footway,,,,,0,
317077948,,,ditch,,,,0,
317077950,,service,,,,,0,
317077952,,footway,,,,,0,
317077955,,footway,,,,,0,
317077957,,footway,,,,,0,
317077958,,footway,,,,,0,
317077960,,footway,,,,,0,
317077962,,footway,,,,,0,
317077963,,footway,,,,,0,
317077964,,footway,,,,,0,
317077965,,footway,,,,,0,
317077966,,footway,,,,,0,
317077968,,footway,,,,,0,
317077969,,footway,,,,,0,
317077984,,,ditch,,,,0,
317077986,,,,,fence,,0,
317574371,,service,,,,,0,
317574372,,service,,,,,0,
317746123,,footway,,,,,0,
318645404,,,,,fence,,0,
318645405,,,,,fence,,0,
318645406,,,,,fence,,0,
318645407,,,,,fence,,0,
318645408,,,,,fence,,0,
318645409,,,,,fence,,0,
318645410,,,,,fence,,0,
318645411,,,,,fence,,0,
318645412,,,,,fence,,0,
318645413,,,,,fence,,0,
318645414,,,,,fence,,0,
318645415,,,,,fence,,0,
318645416,,,,,fence,,0,
318645417,,,,,fence,,0,
318645418,,service,,,,,0,"""service""=>""driveway"""
318645420,,service,,,,,0,"""service""=>""driveway"""
318645421,,service,,,,,0,"""service""=>""driveway"""
318645422,,service,,,,,0,"""service""=>""driveway"""
318645423,,service,,,,,0,"""service""=>""driveway"""
318645424,,service,,,,,0,"""service""=>""driveway"""
318645426,,service,,,,,0,"""service""=>""driveway"""
318645428,,service,,,,,0,"""service""=>""driveway"""
318645429,,footway,,,,,0,
373702471,,service,,,,,0,"""service""=>""parking_aisle"""
378114353,,,,,fence,,0,
378114354,,,,,fence,,0,
378115719,,,,,fence,,0,
378116389,,residential,,,,,3,
430163306,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
430163307,Victorian Goldfields Railway,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
430163308,,,,,fence,,0,
430163310,,,,,fence,,0,
430163312,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
430163314,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
430163315,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
430163317,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
430169247,,footway,,,,,0,
430169248,,footway,,,,,0,
430169250,,service,,,,,0,
430169251,,track,,,,,0,"""tracktype""=>""grade1"""
430169252,,,,,fence,,0,
430172469,,,,,,,5,"""railway""=>""rail"",""service""=>""siding"""
506318370,,footway,,,,,0,
506318371,,,,,fence,,0,
533297582,,,ditch,,,,0,
533297583,,,,,,,0,
541649374,,cycleway,,,,,0,"""foot""=>""yes"",""surface""=>""unpaved"""
541650874,Morris Street,unclassified,,,,,3,"""surface""=>""asphalt"""
541650875,,service,,,,,0,
541650876,,residential,,,,,3,"""surface""=>""unpaved"""
544268622,,footway,,,,,0,
544269018,,service,,,,,0,
544269019,,service,,,,,0,
565764391,,service,,,,,0,
565764392,Hornsby Street,secondary,,,,,6,"""maxspeed""=>""50"",""ref""=>""C283"",""surface""=>""asphalt"""
565764393,Hornsby Street,secondary,,,,,6,"""maxspeed""=>""50"",""ref""=>""C283"",""surface""=>""asphalt"""
565764397,,footway,,,,,0,
565764406,Railway Track,track,,,,,0,"""surface""=>""gravel"""
565767300,,footway,,,,,0,
